_id,material_code,material_name,UOM,__v
61a70cff21caed80af8beffc,WC0000000000230020,BEETROOT,KG,
61a70cff21caed80af8bf01a,WC0000000000110003,CUCUMBER GREEN,KG,
61a70cff21caed80af8bf01e,WC0000000000230031,GINGER,KG,
61a70cff21caed80af8bf02a,WC0000000000090004,LEMON,KG,
627a3afce95cf497b96ce7dd,WC0000000000260002,BABY POTATO,KG,0.0
6281e851f66b05a614e14d51,WC0000000000210015,ZUCCHINI YELLOW,KG,0.0
6281e879f66b05a614e14d5b,WC0000000000210014,ZUCCHINI GREEN,KG,0.0
6281e88cf66b05a614e14d62,WC0000000000230052,YAM,KG,0.0
6281e88ef66b05a614e14d67,WC0000000000120003,ASH GOURD,KG,0.0
6281e8a1f66b05a614e14d6e,WC0000000000180004,WATERMELON STRIPED,KG,0.0
6281e8b0f66b05a614e14d76,WC0000000000180003,WATERMELON KIRAN,KG,0.0
6281e8baf66b05a614e14d7a,WC0000000000010020,BANANA FLOWER,EA,0.0
6281e8bff66b05a614e14d80,WC0000000000230051,TURNIP,KG,0.0
6281e8d5f66b05a614e14d85,WC0000000000270006,TOMATO HYBRID,KG,0.0
6281e8d5f66b05a614e14d89,WC0000000000150056,BANANA LEAF,EA,0.0
6281e8e0f66b05a614e14d8f,WC0000000000010019,BANANA RAW,KG,0.0
6281e92bf66b05a614e14d99,WC0000000000270005,TOMATO COUNTRY,KG,0.0
6281e92df66b05a614e14d9e,WC0000000000230054,BANANA STEM,EA,0.0
6281e939f66b05a614e14da3,WC0000000000140000,BASIL,KG,0.0
6281e941f66b05a614e14da8,WC0000000000090013,SWEET LIME,KG,0.0
6281e949f66b05a614e14dad,WC0000000000020015,BEANS BROAD (AVARAKAI),KG,0.0
6281e955f66b05a614e14db2,WC0000000000020008,BEANS CLUSTER,KG,0.0
6281e95df66b05a614e14db7,WC0000000000020012,BEANS FRENCH CRISPY,KG,0.0
6281e965f66b05a614e14dbc,WC0000000000230047,SWEET CORN AMERICAN,KG,0.0
